stable_id,journal,issn,eissn,required_edition,required_metric_year,status
J2018-01,Journal of Advanced Transportation,,,2026,2025,official_clarivate_access_required
J2018-02,Journal of Sensors,,,2026,2025,official_clarivate_access_required
J2019-01,Reliable Computing,,,2026,2025,official_clarivate_access_required
J2019-02,Computers,,,2026,2025,official_clarivate_access_required
J2020-01,IEEE Transactions on Broadcasting,,,2026,2025,official_clarivate_access_required
J2022-01,Optical Engineering,,,2026,2025,official_clarivate_access_required
J2022-02,Journal of Physics: Conference Series,,,2026,2025,official_clarivate_access_required
J2023-01,Applied Soft Computing,,,2026,2025,official_clarivate_access_required
J2023-02,Optical Engineering,,,2026,2025,official_clarivate_access_required
J2023-03,Optical Review,,,2026,2025,official_clarivate_access_required
J2024-01,Journal of Mechanical Science and Technology,,,2026,2025,official_clarivate_access_required
J2024-02,Sensors,,,2026,2025,official_clarivate_access_required
J2024-03,Pattern Recognition,,,2026,2025,official_clarivate_access_required
J2025-01,机床与液压,,,2026,2025,official_clarivate_access_required
J2025-02,Engineering Applications of Artificial Intelligence,,,2026,2025,official_clarivate_access_required
J2025-03,Electronics,,,2026,2025,official_clarivate_access_required
J2025-04,浙江大学学报,,,2026,2025,official_clarivate_access_required
J2026-01,Scientific Reports,,,2026,2025,official_clarivate_access_required
