stable_id,doi,title,authors_status,authors_count_before,authors_count_after,abstract_status,keywords_status,publisher_status,bibliographic_status,metadata_primary_source,metadata_secondary_source,metadata_retrieved_at,manual_review_required,notes
C2018-01,10.1109/DASC/PiCom/DataCom/CyberSciTec.2018.00095,A Reliable and Low Cost Vehicle Localization Approach Using Interval Analysis,partial,2,2,missing,missing,missing,failed,,,,yes,
C2019-01,10.1109/ICECS46596.2019.8964680,Experimental testbed for VLC-based localization framework in 5G Internet of Radio Light,partial,5,4,missing,missing,missing,failed,,,,yes,
C2019-02,10.1109/ICECS46596.2019.8965061,Experimental indoor tracking testbed based on Visible Light Communication,partial,4,4,missing,missing,missing,failed,,,,yes,
C2019-03,,A Set-membership Approach for Visible Light Positioning with Fluctuated RSS Measurements,partial,5,4,missing,missing,missing,failed,,,,yes,
C2019-04,10.1109/BMSB47279.2019.8971861,Deep Convolutional Auto-Encoder based Indoor Visible Light Positioning Using RSS Temporal Image,partial,5,4,missing,missing,missing,failed,,,,yes,
C2019-05,10.1109/BMSB47279.2019.8971873,PAPR reduction based on deep autoencoder for VLC DCO-OFDM system,partial,5,4,missing,missing,missing,failed,,,,yes,
C2019-06,10.1109/CEEC.2018.8674207,ICSP based visual teach and repeat for outdoor car-like robot localization,partial,2,2,missing,missing,missing,failed,,,,yes,
C2020-01,10.1109/BMSB49480.2020.9379384,Effect of Illumination Intensity on LED Based Visible Light Communication System,partial,5,4,missing,missing,missing,failed,,,,yes,
C2020-02,10.1109/WCNC45663.2020.9120725,NLOS Aware VLC-based Indoor Localization Algorithm Design and Experimental Validation,partial,5,4,missing,missing,missing,failed,,,,yes,
C2021-01,10.1109/CEI52496.2021.9574458,An Improved Yolov5s based Real-time Spontaneous Combustion Point Detection Method,partial,5,4,missing,missing,missing,failed,,,,yes,
C2021-02,10.1145/3482632.3487523,Robot navigation path planning in power plant based on improved wolf pack algorithm,partial,5,4,missing,missing,missing,failed,,,,yes,
C2022-01,10.1109/ICUS55513.2022.9986897,The Implementation of the SLAM Method in ROS System and Underwater Robot,partial,3,3,missing,missing,missing,failed,,,,yes,
C2022-02,10.1117/12.2655693,Design and research of multi-system-interaction robot in digital exhibition hall,partial,5,4,missing,missing,missing,failed,,,,yes,
C2022-03,10.1007/978-981-19-5471-9_84,A Deep Learning Method for Detecting Phone Call Behaviors of Bidding Evaluation Expert,partial,5,4,missing,missing,missing,failed,,,,yes,
C2022-04,10.1109/CEI57409.2022.9950084,Design and Implementation of Automation Control System for Photovoltaic Modules Coating,partial,5,4,missing,missing,missing,failed,,,,yes,
C2022-05,10.1109/RCAR54675.2022.9872249,Hovering Control of an Underwater Vehicle,partial,4,4,missing,missing,missing,failed,,,,yes,
C2023-01,10.1109/RICAI60863.2023.10488971,Design and Application of Intelligent Patrol Digital Twin System in Smart Power Plant,partial,5,4,missing,missing,missing,failed,,,,yes,
C2023-02,10.1109/AIoTSys58602.2023.00024,PINet: Towards Effective and Efficient Industrial Control Protocol Identification,partial,5,4,missing,missing,missing,failed,,,,yes,
C2023-03,10.1109/ICSP58490.2023.10248770,Next View Planning Policy for Autonomous 3D Reconstruction of Unknown Environments,partial,5,4,missing,missing,missing,failed,,,,yes,
C2023-04,10.1109/ICSP58490.2023.10248814,Shaving Aided Interval Constraint Propagation for Guaranteed Landmark Estimation,partial,5,4,missing,missing,missing,failed,,,,yes,
C2023-05,10.1109/ICCEA58433.2023.10135198,Airflow Concentration Sensing for Pulverized Coal: System design and Validation,partial,5,4,missing,missing,missing,failed,,,,yes,
C2023-06,10.1109/BDICN58493.2023.00074,Genetic Algorithm based Fire-fighting Path Planning Method for Multiple Spontaneous Combustion Events in Closed Coal Yard,partial,5,4,missing,missing,missing,failed,,,,yes,
C2024-01,10.1109/ICCC62609.2024.10942083,Exploration of Large Language Model Application in University Information Service Systems,partial,5,4,missing,missing,missing,failed,,,,yes,
C2024-02,10.1109/RICAI64321.2024.10911650,Video Tracking and Auxiliary Obstacle Avoidance of Power Plant Inspection Robot based on Deep Learning and 3D Digital Twin System,partial,5,4,missing,missing,missing,failed,,,,yes,
